,contract,asset_id,owner,is_transferable,is_burnable,collection,schema,template,mutable_data,immutable_data,template_mint,backed_tokens,burned_by_account,burned_at_block,burned_at_time,updated_at_block,updated_at_time,transferred_at_block,transferred_at_time,minted_at_block,minted_at_time,data,name
0,atomicassets,1099524031803,kxrqy.wam,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},1,[],,,,114988231,1618934616000,114988231,1618934616000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
1,atomicassets,1099524031804,long.pickle,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},2,[],,,,130531900,1626709421000,130531900,1626709421000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
2,atomicassets,1099524031805,premint.nft,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},3,[],,,,114134435,1618507218000,114134435,1618507218000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
3,atomicassets,1099524031806,premint.nft,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},4,[],,,,114134435,1618507218000,114134435,1618507218000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
4,atomicassets,1099524031807,45qru.wam,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},5,[],,,,125791900,1624337952000,125791900,1624337952000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
0,atomicassets,1099524031808,plqre.wam,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},6,[],,,,114973931,1618927460000,114973931,1618927460000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
1,atomicassets,1099524031809,long.pickle,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},7,[],,,,130532391,1626709666500,130532391,1626709666500,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
2,atomicassets,1099524031810,o1he2.wam,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},8,[],,,,122499875,1622691568000,122499875,1622691568000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
3,atomicassets,1099524031811,r4nic.wam,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},9,[],,,,149184742,1636045586500,149184742,1636045586500,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
4,atomicassets,1099524031812,premint.nft,True,True,"{'collection_name': 'mlb.topps', 'name': '2021 Topps Series 1 Baseball', 'img': 'QmStHeaGaVMQDncrs6KVg5Jrc9Q8chNj8u6QvCN96js2Qb', 'author': 'mlb.topps', 'allow_notify': True, 'authorized_accounts': ['mlb.topps', '4je.m.wam', 'config.nft', 'unbox.nft', 'sales.nft', 'craft.nft', 'premint.nft', 'dk2ausetup11'], 'notify_accounts': [], 'market_fee': 0.06, 'created_at_block': '113636159', 'created_at_time': '1618257661500'}","{'schema_name': 'series1', 'format': [{'name': 'name', 'type': 'string'}, {'name': 'img', 'type': 'image'}, {'name': 'video', 'type': 'image'}, {'name': 'backimg', 'type': 'image'}, {'name': 'cardid', 'type': 'string'}, {'name': 'rarity', 'type': 'string'}, {'name': 'team', 'type': 'string'}, {'name': 'subset', 'type': 'string'}, {'name': 'legal', 'type': 'string'}], 'created_at_block': '113806656', 'created_at_time': '1618343037500'}","{'template_id': '99764', 'max_supply': '0', 'is_transferable': True, 'is_burnable': True, 'issued_supply': '5000', 'immutable_data': {'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}, 'created_at_time': '1618344578500', 'created_at_block': '113809737'}",{},{},10,[],,,,114134435,1618507218000,114134435,1618507218000,114134435,1618507218000,"{'img': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Front/topps_opening-day_atl_ronald_acunajr.jpg', 'name': 'Ronald Acuña Jr.', 'team': 'Atlanta Braves', 'legal': '®/TM & © 2021 THE TOPPS COMPANY, INC. ALL RIGHTS RESERVED.', 'cardid': '150', 'rarity': 'Event Exclusive', 'subset': 'Opening Day Base', 'backimg': 'QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Event%20Exclusive/Back/topps_opening-day_atl_ronald_acunajr_back.jpg'}",Ronald Acuña Jr.
